company_id,name,registered_address_1,registered_address_2,registered_address_suite,registered_address_city,registered_address_country_id,country_registered,registered_address_zipcode,telephone_no,alternate_tele_no,fax_no,billing_address_1,billing_address_2,billing_address_suite,billing_address_city,billing_address_country_id,billing_address_zipcode,billing_telephone_number,billing_alt_telephone_no,logo_url,web_adr,overview,registration_date,active_untill_date,company_state,subscription_package,remaining_job_credit,total_user_subscription,registered_address_state,billing_address_state,contact_person_id,billing_phone_type_id,billing_alt_phone_type_id,phone_type_id,company_admin,alt_phone_type_id,email_id,sector_id,sectorname,industry_id,industryname,company_size_id,companysize,telephone_no_code,telephone_code,alternate_tele_no_code,billing_telephone_number_code,billing_alt_telephone_no_code,doc_url,is_public
501,Douala Design Hotel,"Douala, Cameroon",,,Douala,38,nationality.cameroon,,679713690,679713690,,"Douala, Cameroon",,,Douala,38,,679713690,679713690,501_photo.jpg,,,7/13/17 16:19,11/30/18 0:00,1,,,,Littoral Region,Littoral Region,3430,3,1,3,eduardo.matheus@foreskin.tk,1,gm@doualadesignhotel.com,1,Consumer Discretionary,5,"Hotels, Restaurants & Leisure",2,"Small 11 - 100 employees
",38,237,38,38,38,,t
515, Sogea-Satom Cameroon,Douala Cameroon,,,Douala,38,nationality.cameroon,,697214412,697214412,,Douala Cameroon,,,Douala,38,,697214412,697214412,515_photo.jpg,,,7/15/17 8:51,11/30/18 0:00,1,,,,Littoral Region,Littoral Region,3445,3,1,3,dhioco@chibakenma.ml,1,info@sogeasatom-cameroon.com,6,Industrials,40,Construction & Engineering,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
735,BEBOTRA SL,B/Banapa,,,Malabo,66,nationality.equatorial.guinea,,222533934,555533934,,B/Banapa,,,Malabo,66,,222533934,555533934,735_photo.jpg,,,8/9/17 15:04,11/30/18 0:00,1,,,,Bioko Norte,Bioko Norte,3974,1,1,1,bbohopo@bebotra.com,1,info@bebotra.com,6,Industrials,45,Professional Services,1,"Micro < 10 employees
",66,240,66,66,66,,t
428,CODEV,"B.P.: 16082 Yaoundé,Cameroun entrée en face du Lio",,,Yaounde,38,nationality.cameroon,,242 097 206,242 097 206,,"B.P.: 16082 Yaoundé,Cameroun entrée en face du Lio",,,Yaounde,38,,242 097 206,242 097 206,428_photo.jpg,www.codevconsulting.com,,7/7/17 10:23,11/30/18 0:00,1,,,,Center Region,Center Region,3338,3,1,3,info@codevconsulting.com,1,info@codevconsulting.com,1,Consumer Discretionary,4,Diversified Consumer Services,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
532,CWCS Cameroon Wildlife Conservation Society,"Yaounde, Cameroon",,,Yaounde,38,nationality.cameroon,,6787 31 08,6787 31 08,,"Yaounde, Cameroon",,,Yaounde,38,,6787 31 08,6787 31 08,532_photo.jpg,http://www.cwcs-cameroon.org/,,7/18/17 9:45,11/30/18 0:00,1,,,,Central Region,Central Region,3467,3,1,3,reda_hel@2.justemail.ml,1,wcscameroon@wcs.org,11,NonProfit ,68,NonProfit,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
743,GRUPO PESAEN SARL,"Km5, Carretera del aeropuerto 
Malabo",,,Malabo,66,nationality.equatorial.guinea,,222268724,555268724,,"Km5, Carretera del aeropuerto 
Malabo",,,Malabo,66,,222268724,555268724,743_photo.jpg,,,8/11/17 14:00,11/30/18 0:00,1,,,,Bioko Norte,Bioko Norte,4008,1,1,1,pedrosanga3@gmail.com,1,pedrosanga3@gmail.com,6,Industrials,38,Building Products,1,"Micro < 10 employees
",66,240,66,66,66,,t
1007,GESAFRIK SERVICIOS SL,"Calle Semu.
Edificio de BANGE",,,Malabo,66,nationality.equatorial.guinea,,222252660,555607055,,Calle Semu,,,Malabo,66,,222252660,555607055,1007_photo.jpg,,,4/13/18 11:03,4/13/19 0:00,1,,,,Bioko Norte,Bioko Norte,8183,1,1,1,daniel.obama.bacale.ayetebe@gmail.com,1,gesafrikservicios@gmail.com,6,Industrials,45,Professional Services,1,"Micro < 10 employees
",66,240,66,66,66,,t
361,APAVE INTERNATIONAL,Zone Industrielle - Avenue Gay Lussac,,,Bordeaux,74,nationality.haiti,33370,556772864,601074507,,Zone Industrielle - Avenue Gay Lussac,,,Bordeaux,74,33370,556772864,601074507,361_photo.jpg,www.apave.com,,6/20/17 8:38,11/30/18 0:00,1,,,,FRANCE,FRANCE,3237,3,1,3,international.consulting@apave.com,1,international.consulting@apave.com,6,Industrials,45,Professional Services,4,"Large >1,000 employees
",94,33,94,94,94,Plaquette Institutionnelle Apave International20170620122427.pdf,t
535,Mansfield Plaza Hotel Bamenda Cameroon ,"Old Town Rd Vertinary Junction, Bamenda, Cameroon",,,Bamenda,38,nationality.cameroon,,670787149,670787149,,"Old Town Rd Vertinary Junction, Bamenda, Cameroon",,,Bamenda,38,,670787149,670787149,535_photo.jpg,,,7/18/17 10:45,11/30/18 0:00,1,,,,North West Region,North West Region,3471,3,1,3,patron.amin.999@kadokawa.ml,1,patron.amin.999@kadokawa.ml,1,Consumer Discretionary,5,"Hotels, Restaurants & Leisure",2,"Small 11 - 100 employees
",38,237,38,38,38,,t
267,MAJONI EXPRESS SL,B/Semu Cerca del mercado ,,,Malabo,66,nationality.equatorial.guinea,,222237045,222273367,,B/Semu Cerca del mercado ,,,Malabo,66,,222237045,222273367,267_photo.jpg,,,12/15/16 10:36,11/30/18 0:00,0,,,,Bioko Norte,Bioko Norte,2096,1,1,1,manjoniexpressssl@gmail.com,1,manjoniexpressssl@gmail.com,6,Industrials,39,Commercial Services & Supplies,1,"Micro < 10 employees
",66,240,66,66,66,,t
340,VIAJA Y PUNTO,C/HIPOLITO MICHA 105,,,MALABO,66,nationality.grenada,,555982589,666696940,,C/HIPOLITO MICHA 105,,,MALABO,66,,555982589,666696940,340_photo.jpg,www.viajaypuntotravel.com,,5/9/17 15:28,11/30/18 0:00,1,,,,BIOKO NORTE,BIOKO NORTE,3153,1,1,1,direccion@viajaypuntotravel.com,1,info@viajaypuntotravel.com,1,Consumer Discretionary,8,Leisure Products,2,"Small 11 - 100 employees
",86,240-1,86,86,86,,t
476,Global Bush travel and tourism agency,"
Carrefour samuel etoo fils Bonamoussadi, Douala,",,,Douala,38,nationality.cameroon,,670497663,233477000,,"
Carrefour samuel etoo fils Bonamoussadi, Douala,",,,Douala,38,,670497663,233477000,476_photo.jpg,,,7/12/17 12:33,11/30/18 0:00,1,,,,Littoral Region,Littoral Region,3402,1,3,1,info@globalbushtratour.com,3, info@globalbushtratour.com,6,Industrials,45,Professional Services,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
557,Clinical Research Educationand Networking,"Douala, Cameroon",,,Douala,38,nationality.cameroon,,679 61 79 81,674 62 53 84,,"Douala, Cameroon",,,Douala,38,,679 61 79 81,674 62 53 84,557_photo.jpg,,,7/20/17 7:01,11/30/18 0:00,1,,,,Littoral Region,Littoral Region,3511,1,3,1,karayasine@ujijima1129.gq,3,contact@crenc.org,5,Health Care,31,Health Care Providers  & Services,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
712,EBEYE SL,Barrio Santa Maria 2,,,Malabo,66,nationality.equatorial.guinea,,222274276,2222223806,,Caracolas parques de África,,,Malabo,66,,222274276,222223806,712_photo.jpg,ebeyegs.com,,8/8/17 9:46,11/30/18 0:00,1,,,,Bioko Norte,Bioko Norte,3932,1,1,1,clemente.ebuera@ebeyegs.com,1,clemente.ebuera@ebeyegs.com,3,Energy,20,"Oil, Gas & Consumable Fuels",1,"Micro < 10 employees
",66,240,66,66,66,,t
718,INBUS GROUP Ltd,4215Boulevard de la republique axelourd bonateki ,,,Douala,38,nationality.cameroon,,243043384,650366853,,4215Boulevard de la republique axelourd bonateki ,,,Douala,38,,243043384,650366853,718_photo.jpg,www.inbusgroup.com,,8/8/17 12:31,11/30/18 0:00,1,,,,littoral ,littoral ,3943,3,1,3,wanko.manuella2012@yahoo.fr,1,info@inbusgroup.com,6,Industrials,45,Professional Services,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
1008,Montrose-ProEmpresa,"Edificio Candy Vistamar, 2do. piso, oficina 204",,,Bata,66,nationality.equatorial.guinea,,333 088 839,222 028 195,,"Edificio Candy Vistamar, 2do. piso, oficina 204",,,Bata,66,,333 088 839,222 028 195,1008_photo.jpg,,,4/20/18 12:42,4/20/19 12:42,1,,,,Litoral,Litoral,8245,3,2,3,elviranguema@montroseafrica.com,2,hruk@montroseint.com,11,NonProfit ,68,NonProfit,2,"Small 11 - 100 employees
",66,240,66,66,66,ProEmpresa Deputy Programme Director ToR revised 11 April 201820180420123424.pdf,f
526,ActivSpaces,"Buea, Cameroon",,,Buea,38,nationality.cameroon,,677243603,677243603,,"Buea, Cameroon",,,Buea,38,,677243603,677243603,526_photo.jpg,,,7/17/17 10:52,11/30/18 0:00,1,,,,South West Region,South West Region,3459,3,1,3,dz05king@sonshi.cf,1,info@activspaces.com,7,Information Technology,51,IT Services,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
772,koera University Admission Center,Cameroon ,,,BUEA,38,nationality.cameroon,237,677836591,662960437,,Cameroon ,,,BUEA,38,237,677836591,662960437,772_photo.jpg,www.ku-ac.com,,8/23/17 10:20,11/30/18 0:00,1,,,,SOUTH WEST REGION ,SOUTH WEST REGION ,4134,1,1,1,pacobates@gmail.com,1,cameroon@ku-ac.com,2,Consumer Staples,17,Personal Products,1,"Micro < 10 employees
",38,237,38,38,38,,t
760,Easy Ride,Bonapriso carrefour champion,,,douala,38,nationality.cameroon,,669231598,669231598,,Bonapriso carrefour champion,,,douala,38,,669231598,669231598,760_photo.jpg,www.easyride.cm,,8/18/17 12:42,11/30/18 0:00,1,,,,littoral,littoral,4096,3,1,3,nyembguillaume@yahoo.fr,1,command@easyride.cm,1,Consumer Discretionary,2,Automobiles,2,"Small 11 - 100 employees
",38,237,38,38,38,,t
761,EDUCATION CAMEROON,P. O BOX 530,,,BUEA,38,nationality.cameroon,237,677032630,691553404,,P. O BOX 530,,,BUEA,38,237,677032630,691553404,761_photo.jpg,www.educationcameroon.org,,8/18/17 17:08,11/30/18 0:00,1,,,,SOUTH WEST REGION ,SOUTH WEST REGION ,4099,1,3,1,takang.kelly@gmail.com,3,info@educationcameroon.org,11,NonProfit ,68,NonProfit,1,"Micro < 10 employees
",38,237,38,38,38,,t
762,NATURAL FASHION,BP DOUALA ,,,DOUALA,38,nationality.cameroon,,696179718,696179718,,BP DOUALA ,,,DOUALA,38,,696179718,696179718,762_photo.jpg,,,8/19/17 14:11,11/30/18 0:00,1,,,,LITTORAL,LITTORAL,4103,1,1,1,bububu63@yahoo.fr,1,bububu63@yahoo.fr,1,Consumer Discretionary,4,Diversified Consumer Services,1,"Micro < 10 employees
",38,237,38,38,38,,t
883,Abn consulting,"Japoma, derrière aéroport sans visa. ",,,Douala ,38,nationality.cameroon,2607,699178312,243859868,,"Japoma, derrière aéroport sans visa. ",,,Douala ,38,2607,699178312,243859868,883_photo.jpg,,,9/12/17 21:49,11/30/18 0:00,1,,,,Littoral ,Littoral ,4822,1,3,1,julesbinene@yahoo.fr,3,letreflegroupe@yahoo.fr,8,Materials,56,Chemicals,1,"Micro < 10 employees
",38,237,38,38,38,,f
595,ACIRY CONSULTING,aciryconsulting@gmail.com,,,Yaounde,38,nationality.cameroon,12981,699071914,675887790,,aciryconsulting@gmail.com,,,Yaounde,38,12981,699071914,675887790,595_photo.jpg,,,7/24/17 14:56,11/30/18 0:00,1,,,,Centre,Centre,3620,1,1,1,bdongmo@gmail.com,1,aciryconsulting@gmail.com,7,Information Technology,51,IT Services,1,"Micro < 10 employees
",38,237,38,38,38,Offre de service standard (26 05 2017)20170724145542.pdf,t
982,SPHIT Tourism Industry Employers Federation,"Boulevard La Republique
Rue 2966
Lewat Hotel
",,,Douala,38,nationality.cameroon,CMR,233400024,233402181,,"Boulevard La Republique
Rue 2966
Lewat Hotel
",,,Douala,38,CMR,233400024,233402181,982_photo.jpg,,,11/14/17 12:54,11/30/18 0:00,1,,,,Littoral,Littoral,6459,3,3,3,binbertcam@yahoo.fr,3,lesphit@yahoo.com,1,Consumer Discretionary,5,"Hotels, Restaurants & Leisure",3,"Medium 101 - 999 employees
",38,237,38,38,38,,t
977,SOACAM SA ,17 355 Douala ,,,Douala ,38,nationality.cameroon,,233429420,233429420,,17 355 Douala ,,,Douala ,38,,233429420,233429420,977_photo.jpg,www.soacam.cm ,,10/30/17 11:28,11/30/18 0:00,1,,,,Littoral ,Littoral ,6167,3,3,3,abdoulhalim@soacam.cm,3,abdoulhalim@soacam.cm ,2,Consumer Staples,15,Food Products,3,"Medium 101 - 999 employees
",38,237,38,38,38,,t
338,Hotel SOFITEL MALABO SIPOPO LE GOLF,"Sipopo
Malabo",,,Malabo,66,nationality.grenada,,555400214,551959147,,"Sipopo
Malabo",,,Malabo,66,,555400214,551959147,338_photo.jpg,www.accordhotels.com,,5/8/17 12:17,11/30/18 0:00,1,,,,Bioko Norte,Bioko Norte,3146,1,1,1,h8212-hr2@sofitel.com,1,h8212-hr2@sofitel.com,1,Consumer Discretionary,5,"Hotels, Restaurants & Leisure",3,"Medium 101 - 999 employees
",86,240-1,86,86,86,,t
